Order ID,Order Date,Ship Mode,Segment,City,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
US-2020-1000,2020-01-12,Second Class,Home Office,Indianapolis,Central,Technology,Copiers,811.3,9,0.4,83.13
US-2020-1001,2020-01-04,Standard Class,Home Office,Seattle,West,Furniture,Bookcases,580.5,2,0.1,228.5
US-2020-1002,2020-01-15,First Class,Consumer,Denver,West,Technology,Copiers,7109.13,6,0.3,413.03
US-2020-1003,2020-01-24,First Class,Home Office,Dallas,Central,Office Supplies,Binders,358.19,7,0,73.77
US-2020-1004,2020-01-03,Standard Class,Corporate,Denver,West,Furniture,Tables,6617.48,4,0.1,1996.31
US-2020-1005,2020-01-26,First Class,Corporate,Dallas,Central,Office Supplies,Appliances,477.74,9,0.1,121.0
US-2020-1006,2020-01-20,First Class,Corporate,Los Angeles,West,Furniture,Furnishings,2405.66,4,0.1,-19.4
US-2020-1007,2020-01-27,First Class,Home Office,Baltimore,East,Furniture,Chairs,4120.53,3,0,1490.36
US-2020-1008,2020-01-22,First Class,Consumer,New Orleans,South,Furniture,Tables,12567.31,10,0.3,2385.87
US-2020-1009,2020-01-23,Second Class,Corporate,Chicago,Central,Technology,Phones,7963.6,6,0.1,171.36
US-2020-1010,2020-01-27,Standard Class,Consumer,Los Angeles,West,Furniture,Bookcases,880.96,1,0,256.85
US-2020-1011,2020-01-02,Standard Class,Consumer,Chicago,Central,Furniture,Tables,12323.6,10,0,1178.19
US-2020-1012,2020-01-03,Second Class,Consumer,Boston,East,Furniture,Chairs,984.51,1,0,169.45
US-2020-1013,2020-01-23,Same Day,Consumer,New York,East,Office Supplies,Storage,535.2,3,0,81.25
US-2020-1014,2020-01-26,Second Class,Consumer,Los Angeles,West,Technology,Machines,21728.48,8,0,5407.1
US-2020-1015,2020-01-21,First Class,Corporate,Nashville,South,Technology,Machines,3024.96,8,0,-282.53
US-2020-1016,2020-01-18,First Class,Consumer,Chicago,Central,Office Supplies,Storage,48.56,1,0.4,13.15
US-2020-1017,2020-01-13,Same Day,Home Office,Seattle,West,Furniture,Furnishings,2947.36,5,0.2,575.14
US-2020-1018,2020-01-23,Same Day,Consumer,New Orleans,South,Furniture,Chairs,7256.58,6,0,143.01
US-2020-1019,2020-01-15,Same Day,Home Office,Dallas,Central,Technology,Copiers,2323.39,1,0,285.02
US-2020-1020,2020-01-26,Same Day,Consumer,Houston,South,Office Supplies,Binders,2832.13,8,0.2,158.68
US-2020-1021,2020-01-01,Second Class,Consumer,Nashville,South,Office Supplies,Binders,1258.62,3,0,127.01
US-2020-1022,2020-01-09,Second Class,Consumer,Seattle,West,Office Supplies,Binders,4411.98,9,0,-21.05
US-2020-1023,2020-01-05,First Class,Consumer,Boston,East,Technology,Copiers,1704.68,1,0.1,608.47
US-2020-1024,2020-01-12,Standard Class,Home Office,Columbus,Central,Furniture,Bookcases,1709.92,1,0,4.9
US-2020-1025,2020-01-13,First Class,Consumer,San Francisco,West,Office Supplies,Art,1844.64,8,0.3,159.05
US-2020-1026,2020-01-02,First Class,Consumer,Chicago,Central,Furniture,Tables,2780.06,6,0.2,720.73
US-2020-1027,2020-01-02,First Class,Consumer,Atlanta,South,Furniture,Bookcases,6783.93,9,0,316.83
US-2020-1028,2020-01-16,First Class,Corporate,Baltimore,East,Office Supplies,Binders,836.03,6,0.1,89.76
US-2020-1029,2020-01-06,Same Day,Home Office,Dallas,Central,Furniture,Furnishings,1546.83,8,0.3,-125.43
US-2020-1030,2020-01-13,First Class,Corporate,New York,East,Furniture,Chairs,5850.58,4,0.1,-406.16
US-2020-1031,2020-02-14,Second Class,Corporate,Dallas,Central,Technology,Accessories,6946.67,6,0.1,2738.58
US-2020-1032,2020-02-16,Same Day,Corporate,Los Angeles,West,Furniture,Chairs,991.72,1,0.4,273.93
US-2020-1033,2020-02-12,Second Class,Consumer,New Orleans,South,Furniture,Chairs,7976.92,4,0,-380.38
US-2020-1034,2020-02-27,Same Day,Corporate,Nashville,South,Office Supplies,Appliances,384.45,7,0.3,130.26
